name,sector,subsector,sourceType,emissionsQuantity,activity,capacity,year,emissions_mt
Kaduwela Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,50572.27948500001,1437565077.21095,168328680.34967998,2024,0.050572279485
Colombo Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,49884.17691999999,860733662.9,100785810.66527995,2024,0.04988417691999999
K.F.G. & G. Korale Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,44414.983095,891623458.6214399,104402786.93988004,2024,0.044414983095000006
Kesbewa Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,43705.72118499999,1092624032.5670402,127938528.9,2024,0.04370572118499999
Thimbirigasyaya Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,41217.47291,878223744.1944999,102833775.90360004,2024,0.04121747291
Ja-Ela Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,38644.53283,773500152.0210701,90571385.14404003,2024,0.038644532829999995
Katana Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,36233.97675,698098085.9,81742337.28624003,2024,0.03623397675
Attanagalla Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,36228.99106,337380522.1,39504867.55968001,2024,0.03622899106
Panadura Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,35105.427520000005,597703559.6,69986849.7,2024,0.03510542752
Homagama Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,32949.09002,623825207.2335601,73045509.65436001,2024,0.03294909002
Ambagamuwa Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,32784.630150000005,224804371.10889995,26322998.37324,2024,0.03278463015000001
Gampaha Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,32021.85562,543559233.6687299,63646933.02,2024,0.03202185562
Nuwara Eliya Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,31945.442820000004,293665855.2,34386189.97008,2024,0.03194544282
Ratnapura Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,31169.44077,252584692.1218601,29575876.9,2024,0.03116944077
Maharagama Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,30880.158764999996,941792481.8154396,110277223.00728,2024,0.030880158764999995
Kalutara Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,30605.09442,384355713.54446,45005329.69,2024,0.030605094420000003
Wattala Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,29864.272860000005,574145304.3,67228345.43,2024,0.029864272860000006
Mahara Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,28768.98711,597710156.6004599,69987622.28844002,2024,0.028768987109999998
Kolonnawa Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,28588.843874999995,719436030.7870699,84240859.51139998,2024,0.028588843874999995
Dehiwala-Mount Lavinia Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,28392.97096,724432019.8031598,84825855.48036002,2024,0.02839297096
Beruwala Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,28367.40589,338764683.78226995,39666942.86,2024,0.028367405890000003
Moratuwa Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,27590.54807,517919160.4,60644663.2272,2024,0.027590548070000002
Biyagama Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,27364.96086000001,766526132.4,89754776.58924001,2024,0.02736496086000001
Embilipitiya Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,25094.804,203662908.6,23847482.93,2024,0.025094804000000002
Galle Four Gravets Division,buildings,residential-onsite-fuel-usage,gadm-aggregation,25081.966615,526744091.5492799,61677998.91936,2024,0.025081966615
