id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320010,Kaduwela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.97294917497487, 'latitude': 6.900752068500054, 'srid': 4326}",co2e_20yr,50572.27948500001,3.5179123565742385e-05,t of CO2e_20yr per MJ,1437565077.2109501,MJ,168328680.34967998,m^2,8.540226622252392,2024
1320006,Colombo Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.86456019253735, 'latitude': 6.944720984000071, 'srid': 4326}",co2e_20yr,49884.17691999999,5.795541532622881e-05,t of CO2e_20yr per MJ,860733662.9,MJ,100785810.66527997,m^2,8.540226617634946,2024
1320094,K.F.G. & G. Korale Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.6435863155522, 'latitude': 7.273478985000054, 'srid': 4326}",co2e_20yr,44414.983094999996,4.981360984340974e-05,t of CO2e_20yr per MJ,891623458.6214399,MJ,104402786.93988003,m^2,8.540226604629607,2024
1320011,Kesbewa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.92816605026104, 'latitude': 6.804316044500042, 'srid': 4326}",co2e_20yr,43705.72118499999,4.000069546549932e-05,t of CO2e_20yr per MJ,1092624032.5670402,MJ,127938528.9,m^2,8.54022664,2024
1320017,Thimbirigasyaya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.86736423857351, 'latitude': 6.896250010000102, 'srid': 4326}",co2e_20yr,41217.47291,4.6932769903419484e-05,t of CO2e_20yr per MJ,878223744.1944999,MJ,102833775.90360004,m^2,8.540226559586584,2024
1320041,Ja-Ela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.90432028424354, 'latitude': 7.074832678000121, 'srid': 4326}",co2e_20yr,38644.53283,4.99606014672733e-05,t of CO2e_20yr per MJ,773500152.0210701,MJ,90571385.14404003,m^2,8.540226593542052,2024
1320042,Katana Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.90273164369461, 'latitude': 7.1956646440000895, 'srid': 4326}",co2e_20yr,36233.97675,5.190384772148215e-05,t of CO2e_20yr per MJ,698098085.9,MJ,81742337.28624003,m^2,8.540226632514377,2024
1320036,Attanagalla Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.12859147340347, 'latitude': 7.113485336000111, 'srid': 4326}",co2e_20yr,36228.99106,0.000107383,t of CO2e_20yr per MJ,337380522.1,MJ,39504867.55968001,m^2,8.540226633185117,2024
1320086,Panadura Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.91074746509516, 'latitude': 6.712260962000073, 'srid': 4326}",co2e_20yr,35105.427520000005,5.8733843815887465e-05,t of CO2e_20yr per MJ,597703559.6,MJ,69986849.7,m^2,8.540226660050914,2024
1320009,Homagama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.02447028736572, 'latitude': 6.8363325600000735, 'srid': 4326}",co2e_20yr,32949.090019999996,5.281782402817182e-05,t of CO2e_20yr per MJ,623825207.2335601,MJ,73045509.65436001,m^2,8.540226636591406,2024
1320201,Ambagamuwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.56193211270363, 'latitude': 6.894318343000066, 'srid': 4326}",co2e_20yr,32784.630150000005,0.000145836,t of CO2e_20yr per MJ,224804371.10889995,MJ,26322998.373239998,m^2,8.540226607977777,2024
